client,site,country,tracc_practice,assessment_date,tracc_maturity
Client 1,Site 1,Canada,5S,3/10/2016,1.35
Client 1,Site 1,Canada,5S,3/15/2016,1.27
Client 1,Site 1,Canada,5S,3/18/2016,1.38
Client 1,Site 1,Canada,5S,3/25/2016,2.38
Client 1,Site 1,Canada,5S,3/29/2016,1.45
Client 1,Site 1,Canada,5S,3/30/2016,1.49
Client 1,Site 1,Canada,5S,3/31/2016,1.36
Client 1,Site 1,Canada,5S,4/7/2016,1.46
Client 1,Site 1,Canada,5S,4/10/2016,2.02
Client 1,Site 1,Canada,5S,4/11/2016,1.89
Client 1,Site 1,Canada,5S,4/12/2016,2.21
Client 1,Site 1,Canada,5S,4/14/2016,2.14
Client 1,Site 1,Canada,5S,4/18/2016,2.05
Client 1,Site 1,Canada,5S,4/20/2016,1
Client 1,Site 1,Canada,5S,4/21/2016,2.26
Client 1,Site 1,Canada,5S,4/23/2016,1
Client 1,Site 1,Canada,5S,4/26/2016,1.82
Client 1,Site 1,Canada,5S,4/27/2016,1.71
Client 1,Site 1,Canada,5S,4/29/2016,1.48
Client 1,Site 1,Canada,5S,5/5/2016,2.12
Client 1,Site 1,Canada,5S,5/6/2016,1.84
Client 1,Site 1,Canada,5S,5/10/2016,1.6
Client 1,Site 1,Canada,5S,5/11/2016,1.99
Client 1,Site 1,Canada,5S,5/18/2016,1.7
Client 1,Site 1,Canada,5S,5/22/2016,1.61
Client 1,Site 1,Canada,5S,5/25/2016,1.98
Client 1,Site 1,Canada,5S,5/26/2016,2.53
Client 1,Site 1,Canada,5S,6/1/2016,1.76
Client 1,Site 1,Canada,5S,6/12/2016,1.92
Client 1,Site 1,Canada,5S,6/14/2016,1.95
Client 1,Site 1,Canada,5S,6/17/2016,1.92
Client 1,Site 1,Canada,5S,7/7/2016,1.98
Client 1,Site 1,Canada,5S,7/20/2016,2.17
Client 1,Site 1,Canada,5S,7/21/2016,2.12
Client 1,Site 1,Canada,5S,7/22/2016,1.95
Client 1,Site 1,Canada,5S,7/26/2016,1.65
Client 1,Site 1,Canada,5S,7/28/2016,1.96
Client 1,Site 1,Canada,5S,7/29/2016,1.36
Client 1,Site 1,Canada,5S,8/10/2016,1.04
Client 1,Site 1,Canada,5S,8/17/2016,2.4
Client 1,Site 1,Canada,5S,8/19/2016,1.48
Client 1,Site 1,Canada,5S,8/22/2016,2.13
Client 1,Site 1,Canada,5S,8/23/2016,2.19
Client 1,Site 1,Canada,5S,8/24/2016,2.1
Client 1,Site 1,Canada,5S,8/30/2016,2.23
Client 1,Site 1,Canada,5S,8/31/2016,2.86
Client 1,Site 1,Canada,5S,9/2/2016,2.31
Client 1,Site 1,Canada,5S,9/3/2016,2.2
Client 1,Site 1,Canada,5S,9/6/2016,1
Client 1,Site 1,Canada,5S,9/7/2016,2.52
Client 1,Site 1,Canada,5S,9/8/2016,2.19
Client 1,Site 1,Canada,5S,9/9/2016,2.59
Client 1,Site 1,Canada,5S,9/12/2016,2.68
Client 1,Site 1,Canada,5S,9/13/2016,2.26
Client 1,Site 1,Canada,5S,9/18/2016,2.34
Client 1,Site 1,Canada,5S,9/20/2016,2.19
Client 1,Site 1,Canada,5S,9/21/2016,2.43
Client 1,Site 1,Canada,5S,9/28/2016,1.6
Client 1,Site 1,Canada,5S,10/14/2016,2.1
Client 1,Site 1,Canada,5S,10/15/2016,1.39
Client 1,Site 1,Canada,5S,11/23/2016,2.59
Client 1,Site 1,Canada,5S,12/7/2016,2.67
Client 1,Site 1,Canada,5S,12/29/2016,2.18
Client 1,Site 1,Canada,5S,1/1/2017,2.35
Client 1,Site 1,Canada,5S,1/3/2017,1.56
Client 1,Site 1,Canada,5S,1/5/2017,1.54
Client 1,Site 1,Canada,5S,1/9/2017,2.31
Client 1,Site 1,Canada,5S,1/11/2017,1.84
Client 1,Site 1,Canada,5S,1/13/2017,1.48
Client 1,Site 1,Canada,5S,1/16/2017,2.39
Client 1,Site 1,Canada,5S,2/1/2017,1.48
Client 1,Site 1,Canada,5S,2/8/2017,2.26
Client 1,Site 1,Canada,5S,2/11/2017,2.46
Client 1,Site 1,Canada,5S,2/17/2017,2.49
Client 1,Site 1,Canada,5S,3/2/2017,1
Client 1,Site 1,Canada,5S,3/3/2017,2.02
Client 1,Site 1,Canada,5S,3/11/2017,2.73
Client 1,Site 1,Canada,5S,3/13/2017,2.77
Client 1,Site 1,Canada,5S,3/20/2017,2.16
Client 1,Site 1,Canada,5S,3/23/2017,2.48
Client 1,Site 1,Canada,5S,4/7/2017,3.2
Client 1,Site 1,Canada,5S,4/8/2017,3.66
Client 1,Site 1,Canada,5S,4/14/2017,3.22
Client 1,Site 1,Canada,5S,4/20/2017,2.92
Client 1,Site 1,Canada,5S,4/25/2017,1.25
Client 1,Site 1,Canada,5S,4/26/2017,1.3
Client 1,Site 1,Canada,5S,5/2/2017,1
Client 1,Site 1,Canada,5S,5/3/2017,3.05
Client 1,Site 1,Canada,5S,5/8/2017,3.43
Client 1,Site 1,Canada,5S,5/16/2017,3.25
Client 1,Site 1,Canada,5S,5/31/2017,1.14
Client 1,Site 1,Canada,5S,12/19/2017,1.29
Client 1,Site 1,Canada,5S,4/11/2018,1.08
Client 1,Site 1,Canada,5S,5/8/2018,1
Client 1,Site 1,Canada,5S,6/15/2018,1
Client 1,Site 1,Canada,5S,6/20/2018,3.07
Client 1,Site 1,Canada,5S,6/25/2018,3.22
Client 1,Site 1,Canada,5S,7/4/2018,3.25
Client 1,Site 1,Canada,5S,7/10/2018,3.18
Client 1,Site 1,Canada,5S,10/17/2018,1.45
Client 1,Site 1,Canada,Focused Improvement,5/9/2016,1
Client 1,Site 1,Canada,Focused Improvement,5/16/2016,1.52
Client 1,Site 1,Canada,Focused Improvement,5/17/2016,1
Client 1,Site 1,Canada,Focused Improvement,5/27/2016,1.67
Client 1,Site 1,Canada,Focused Improvement,6/9/2016,1
